claim_id,age,policy_tenure_years,claim_amount,annual_premium,num_claims_history,days_to_report,incident_severity,insurance_type,incident_type,police_report_filed,witnesses,vehicle_age_years,deductible_amount,customer_region,fraud_flag
CLM100000,68,16.1,9450.36,1818.29,3,74,Moderate,Health,Theft,1,4,17,2000,North,0
CLM100001,57,9.4,31618.054471492695,5233.53,4,89,Total Loss,Property,Accident,1,3,17,500,West,1
CLM100002,24,13.6,21451.66,1424.35,8,18,Major,Life,Medical,1,0,2,2500,North,0
CLM100003,49,6.7,22726.92,4184.83,11,65,Total Loss,Property,Fire,1,2,6,2500,Central,0
CLM100004,65,7.9,3589.54,5413.86,12,83,Major,Auto,Accident,1,0,12,500,East,0
CLM100005,36,19.8,14475.74,4843.46,8,51,Total Loss,Life,Accident,0,3,6,2000,West,0
CLM100006,23,5.3,34979.02,1550.0,2,30,Major,Health,Natural,1,2,12,2500,East,0
CLM100007,37,10.4,5724.432426716928,1710.3,8,77,Minor,Health,Medical,1,1,3,1500,North,1
CLM100008,44,17.0,10605.87,5535.43,12,67,Minor,Property,Natural,1,2,15,2000,West,0
CLM100009,70,5.2,21815.62,6566.82,0,29,Minor,Health,Fire,1,4,14,1500,North,0
CLM100010,60,8.6,15181.6,7310.56,7,12,Major,Auto,Fire,1,1,12,1000,North,0
CLM100011,54,12.5,5769.826831937509,6602.09,13,28,Total Loss,Auto,Medical,1,2,9,500,East,1
CLM100012,65,9.9,20946.618676827962,7804.43,15,53,Moderate,Property,Natural,1,1,9,2500,Central,1
CLM100013,24,9.5,11615.98,3561.89,2,33,Moderate,Life,Medical,1,4,4,500,North,0
CLM100014,22,7.6,83253.82,2983.74,11,19,Moderate,Health,Natural,1,4,3,500,North,0
CLM100015,28,11.9,3951.32,711.38,14,49,Minor,Auto,Theft,1,0,18,1500,South,0
CLM100016,32,12.7,61618.12,3874.22,4,88,Minor,Life,Medical,1,4,14,2500,East,0
CLM100017,20,13.2,8077.67,5385.29,3,26,Minor,Auto,Fire,1,4,8,1000,North,0
CLM100018,22,1.9,4353.16,6615.56,6,29,Total Loss,Auto,Natural,0,4,15,500,South,0
CLM100019,40,12.8,9019.32,2505.92,10,55,Minor,Life,Theft,1,3,3,1500,East,0
CLM100020,70,19.1,15278.58,4351.93,6,83,Total Loss,Life,Fire,0,4,10,1500,West,0
CLM100021,54,11.0,4602.39,5465.07,10,64,Total Loss,Health,Natural,1,0,16,2500,Central,0
CLM100022,26,14.4,6167.79,4637.02,7,54,Total Loss,Property,Theft,0,1,0,2000,East,0
CLM100023,32,11.4,29918.48,2555.16,4,23,Major,Property,Fire,0,3,8,2000,North,0
CLM100024,20,17.2,104758.93,6472.12,12,24,Moderate,Auto,Fire,1,1,11,1000,South,0
CLM100025,46,18.6,6744.68,1800.21,10,52,Total Loss,Property,Theft,1,1,11,1500,South,0
CLM100026,23,4.1,3417.62,7287.35,4,75,Moderate,Auto,Fire,1,0,9,2000,West,0
CLM100027,34,9.0,24637.93,7644.48,7,10,Total Loss,Life,Natural,0,3,8,500,South,0
CLM100028,43,8.2,14761.46,3241.8,4,59,Total Loss,Auto,Natural,1,2,19,1000,North,0
CLM100029,38,8.4,2587.09,3321.36,12,76,Minor,Health,Fire,1,4,15,500,East,0
CLM100030,25,2.9,44997.41,6074.59,13,46,Moderate,Auto,Accident,1,1,12,2000,West,0
CLM100031,38,16.4,2218.96,3922.16,12,24,Total Loss,Auto,Theft,1,1,2,1500,Central,0
CLM100032,74,1.2,15726.7,714.58,0,24,Moderate,Health,Accident,0,0,17,2000,Central,0
CLM100033,28,10.8,17881.984052369142,7399.08,14,41,Minor,Health,Natural,1,0,3,1000,North,1
CLM100034,55,13.4,34026.766919091104,3730.63,6,49,Total Loss,Property,Fire,1,0,18,1000,West,1
CLM100035,25,4.5,8295.247596420122,2026.21,7,71,Minor,Life,Medical,1,3,12,500,West,1
CLM100036,59,18.2,18476.59,4667.48,11,10,Total Loss,Life,Medical,1,4,12,500,North,0
CLM100037,41,16.9,49178.39,2141.8,9,9,Minor,Health,Accident,1,3,11,1000,West,0
CLM100038,52,9.7,10199.13,2045.16,4,80,Minor,Life,Accident,0,0,0,500,South,0
CLM100039,72,8.5,12102.27,4592.98,12,59,Major,Auto,Accident,0,0,1,2500,South,0
CLM100040,31,5.1,5112.84,3432.82,7,53,Total Loss,Life,Natural,0,1,2,1000,North,0
CLM100041,72,14.7,34366.04,4797.45,14,79,Total Loss,Health,Natural,1,3,12,500,North,0
CLM100042,31,3.1,54197.37,7976.19,8,62,Total Loss,Life,Fire,0,3,11,2000,South,0
CLM100043,27,13.8,38568.11347907961,6942.64,10,51,Moderate,Health,Natural,1,4,15,1500,East,1
CLM100044,29,16.9,12738.65,557.53,0,4,Major,Property,Fire,1,3,13,2500,North,0
CLM100045,55,5.0,48127.62,879.17,0,40,Moderate,Health,Fire,1,4,13,2500,South,0
CLM100046,61,17.4,3505.88,5075.6,0,62,Total Loss,Auto,Accident,1,2,16,1500,East,0
CLM100047,72,1.1,10765.43,5196.92,0,55,Major,Auto,Medical,0,4,4,1500,East,0
CLM100048,63,18.3,12570.06,7086.43,8,31,Minor,Auto,Accident,1,0,5,2000,South,0
CLM100049,51,2.8,11156.64,5217.93,0,26,Major,Health,Natural,1,2,9,1500,South,0
CLM100050,58,13.1,68425.41227462192,2207.86,9,90,Minor,Health,Theft,0,1,8,2500,West,1
CLM100051,27,5.4,17648.26,4013.87,5,47,Total Loss,Auto,Natural,1,1,6,2000,East,0
CLM100052,34,16.8,5349.800626299645,6567.39,13,40,Total Loss,Life,Medical,0,1,3,1500,Central,1
CLM100053,34,10.5,19167.815490241803,7421.19,15,72,Minor,Health,Natural,0,0,6,2000,West,1
CLM100054,20,3.1,7211.77,2276.86,8,77,Major,Life,Medical,1,1,10,2000,West,0
CLM100055,48,11.6,37916.29603315793,4547.04,6,90,Moderate,Property,Theft,1,4,5,500,East,1
CLM100056,68,8.5,6168.2,1691.96,8,17,Major,Property,Theft,1,0,15,1500,East,0
CLM100057,18,13.4,2871.07,4227.5,13,37,Minor,Property,Fire,1,3,15,500,East,0
CLM100058,29,17.7,16906.0,1175.86,14,64,Minor,Property,Natural,0,0,12,2500,North,0
CLM100059,56,8.5,29560.85,7562.96,12,16,Moderate,Auto,Fire,0,0,11,2000,South,0
CLM100060,21,6.2,41237.51,5285.42,13,89,Moderate,Health,Accident,1,3,1,2500,South,0
CLM100061,59,0.8,54946.37,6906.63,5,85,Moderate,Property,Accident,1,4,12,2000,South,0
CLM100062,30,11.7,37315.739378495775,7987.21,10,90,Minor,Auto,Accident,0,2,0,1500,East,1
CLM100063,51,8.3,3257.15,1869.99,8,37,Total Loss,Property,Accident,0,3,9,1000,West,0
CLM100064,59,7.8,29771.26,5706.08,14,84,Major,Health,Accident,0,0,9,1500,East,0
CLM100065,38,4.1,8661.39,7152.4,6,62,Moderate,Property,Natural,1,1,10,2000,East,0
CLM100066,39,8.9,20635.07,4819.54,8,41,Minor,Property,Fire,1,3,8,1000,West,0
CLM100067,74,19.7,31657.14235370411,5297.72,8,21,Major,Life,Fire,1,3,3,1000,Central,1
CLM100068,21,6.3,27456.87,3557.53,3,29,Moderate,Life,Medical,0,2,16,1500,North,0
CLM100069,35,12.2,22999.50794835356,5560.71,13,80,Total Loss,Life,Accident,0,0,18,2500,Central,1
CLM100070,22,15.6,1956.78,3466.83,2,8,Major,Life,Theft,0,1,9,1500,East,0
CLM100071,36,15.1,13206.81,4074.65,4,56,Major,Property,Medical,1,1,12,2000,South,0
CLM100072,19,6.9,3818.29,1271.84,8,58,Minor,Property,Medical,1,2,1,2500,South,0
CLM100073,29,12.4,125468.09685251943,558.56,5,83,Minor,Life,Natural,0,1,8,2000,West,1
CLM100074,34,17.5,12228.73,913.63,0,74,Minor,Health,Medical,0,4,6,2500,East,0
CLM100075,27,0.8,13096.71,1943.91,1,4,Total Loss,Auto,Theft,1,3,9,500,West,0
CLM100076,51,9.0,36670.26,3924.53,9,83,Major,Property,Fire,1,3,11,2500,West,0
CLM100077,23,4.9,15695.86,657.46,4,3,Moderate,Life,Medical,0,1,19,500,North,0
CLM100078,25,8.1,6408.73,1669.52,2,7,Total Loss,Auto,Natural,1,1,10,2000,West,0
CLM100079,68,8.6,6266.67,6360.83,5,41,Moderate,Life,Accident,1,1,3,1500,East,0
CLM100080,28,15.1,22237.36333244561,6216.25,21,62,Moderate,Life,Theft,1,3,11,2000,North,1
CLM100081,74,2.3,31216.97,6422.98,14,12,Minor,Health,Accident,1,1,11,1500,South,0
CLM100082,29,10.5,24751.39,7411.56,10,4,Moderate,Health,Medical,0,4,7,500,North,0
CLM100083,26,11.5,50347.76,1393.03,7,39,Moderate,Property,Fire,1,4,19,1500,East,0
CLM100084,19,10.1,2119.01,1723.55,5,18,Total Loss,Life,Natural,1,3,13,2000,Central,0
CLM100085,25,14.8,5686.3,3001.65,9,81,Minor,Auto,Theft,0,0,6,2000,North,0
CLM100086,28,8.0,2254.11,7363.56,8,3,Moderate,Property,Fire,1,0,2,2000,Central,0
CLM100087,70,18.9,21859.31,6316.08,14,58,Moderate,Health,Theft,1,0,18,2500,North,0
CLM100088,53,9.9,5139.619837647408,2930.91,9,31,Moderate,Property,Natural,1,4,13,2000,North,1
CLM100089,27,11.6,2578.51,1157.27,13,23,Major,Property,Natural,0,2,18,2500,West,0
CLM100090,38,16.6,13371.82,5122.85,4,30,Major,Life,Medical,1,0,9,1000,Central,0
CLM100091,37,5.9,8952.29,2426.14,3,57,Minor,Auto,Theft,1,2,11,500,Central,0
CLM100092,65,2.0,19834.33,4483.64,1,27,Total Loss,Health,Medical,0,3,17,1000,North,0
CLM100093,25,14.3,11012.64,7563.53,5,8,Minor,Property,Theft,1,4,18,1000,East,0
CLM100094,53,9.9,9309.51,4794.63,1,44,Major,Property,Theft,1,0,17,2500,East,0
CLM100095,46,18.0,9313.84,7428.76,4,89,Minor,Life,Accident,1,4,12,2500,Central,0
CLM100096,59,19.7,31821.4,3447.79,0,48,Total Loss,Property,Medical,1,3,16,500,West,0
CLM100097,29,8.3,8543.5,5250.14,2,1,Minor,Auto,Theft,1,4,5,500,West,0
CLM100098,31,8.6,7083.41,7204.17,9,5,Moderate,Life,Theft,0,1,15,500,East,0
CLM100099,65,8.5,7199.47,4909.9,4,28,Total Loss,Health,Natural,1,0,17,2000,West,0
CLM100100,71,6.8,4283.55,5111.74,12,25,Total Loss,Property,Accident,0,4,8,2000,North,0
CLM100101,67,15.7,30565.68,5872.31,12,27,Total Loss,Property,Natural,0,4,12,500,North,0
CLM100102,38,15.3,3378.45,7115.81,6,6,Minor,Life,Medical,1,4,3,2500,Central,0
CLM100103,39,9.8,36889.41,1161.35,7,33,Minor,Property,Medical,0,3,12,1000,South,0
CLM100104,38,1.4,9886.341879273215,3026.45,9,90,Moderate,Health,Theft,0,0,2,500,East,1
CLM100105,61,6.5,35453.05,3482.64,6,9,Total Loss,Auto,Fire,0,0,3,500,East,0
CLM100106,67,6.2,24468.45,7322.82,10,56,Moderate,Auto,Natural,1,1,18,1000,South,0
CLM100107,47,16.3,14083.66,7670.06,14,46,Total Loss,Life,Medical,1,1,0,1500,West,0
CLM100108,56,2.2,17605.87,1402.85,1,85,Major,Property,Theft,1,4,0,500,North,0
